Jarak(L),Total Dispersi (s),Total Daya(dBm)
339,5.0057566860584455e-12,144.622
340,5.005756686058456e-12,144.320
341,5.005756686058467e-12,144.018
342,5.005756686058479e-12,143.716
343,5.00575668605849e-12,143.414
344,5.005756686058501e-12,143.112
345,5.0057566860585125e-12,142.810
346,5.005756686058524e-12,142.508
347,5.005756686058535e-12,142.206
348,5.0057566860585465e-12,141.904
349,5.005756686058558e-12,141.602
350,5.005756686058569e-12,141.300
351,5.00575668605858e-12,140.998
352,5.0057566860585925e-12,140.696
353,5.005756686058604e-12,140.394
354,5.005756686058615e-12,140.092
355,5.0057566860586264e-12,139.790
356,5.0057566860586386e-12,139.488
357,5.005756686058651e-12,139.186
358,5.005756686058662e-12,138.884
359,5.005756686058673e-12,138.582
360,5.0057566860586854e-12,138.280
361,5.0057566860586975e-12,137.978
362,5.005756686058709e-12,137.676
363,5.005756686058721e-12,137.374
364,5.005756686058733e-12,137.072
365,5.005756686058745e-12,136.770
366,5.0057566860587565e-12,136.468
367,5.005756686058769e-12,136.166
368,5.005756686058781e-12,135.864
369,5.005756686058793e-12,135.562
370,5.005756686058805e-12,135.260
371,5.005756686058817e-12,134.958
372,5.005756686058829e-12,134.656
373,5.005756686058841e-12,134.354
374,5.0057566860588534e-12,134.052
375,5.0057566860588656e-12,133.750
376,5.005756686058878e-12,133.448
377,5.005756686058891e-12,133.146
378,5.005756686058903e-12,132.844
379,5.005756686058915e-12,132.542
380,5.005756686058928e-12,132.240
381,5.00575668605894e-12,131.938
382,5.005756686058953e-12,131.636
383,5.005756686058965e-12,131.334
384,5.005756686058978e-12,131.032
385,5.00575668605899e-12,130.730
386,5.005756686059003e-12,130.428
387,5.005756686059016e-12,130.126
388,5.005756686059028e-12,129.824
389,5.005756686059041e-12,129.522
390,5.005756686059054e-12,129.220
391,5.005756686059066e-12,128.918
392,5.005756686059079e-12,128.616
393,5.005756686059092e-12,128.314
394,5.005756686059105e-12,128.012
395,5.0057566860591176e-12,127.710
396,5.0057566860591305e-12,127.408
397,5.0057566860591434e-12,127.106
398,5.005756686059156e-12,126.804
399,5.00575668605917e-12,126.502
400,5.005756686059183e-12,126.200
401,5.005756686059196e-12,125.898
402,5.005756686059209e-12,125.596
403,5.005756686059223e-12,125.294
404,5.0057566860592355e-12,124.992
405,5.0057566860592484e-12,124.690
406,5.005756686059262e-12,124.388
407,5.005756686059275e-12,124.086
408,5.005756686059289e-12,123.784
409,5.005756686059302e-12,123.482
410,5.0057566860593155e-12,123.180
411,5.005756686059329e-12,122.878
412,5.005756686059342e-12,122.576
413,5.005756686059356e-12,122.274
414,5.00575668605937e-12,121.972
415,5.005756686059383e-12,121.670
416,5.005756686059396e-12,121.368
417,5.00575668605941e-12,121.066
418,5.005756686059424e-12,120.764
419,5.0057566860594375e-12,120.462
420,5.005756686059451e-12,120.160
421,5.005756686059465e-12,119.858
422,5.005756686059479e-12,119.556
423,5.005756686059492e-12,119.254
424,5.005756686059506e-12,118.952
425,5.005756686059521e-12,118.650
426,5.0057566860595344e-12,118.348
427,5.005756686059548e-12,118.046
428,5.005756686059563e-12,117.744
429,5.0057566860595764e-12,117.442
430,5.00575668605959e-12,117.140
431,5.005756686059605e-12,116.838
432,5.0057566860596184e-12,116.536
433,5.005756686059633e-12,116.234
434,5.005756686059647e-12,115.932
435,5.005756686059661e-12,115.630
436,5.005756686059675e-12,115.328
437,5.0057566860596895e-12,115.026
438,5.005756686059704e-12,114.724
439,5.0057566860597186e-12,114.422
440,5.005756686059733e-12,114.120
441,5.005756686059747e-12,113.818
442,5.005756686059761e-12,113.516
443,5.005756686059776e-12,113.214
444,5.0057566860597905e-12,112.912
445,5.005756686059805e-12,112.610
446,5.0057566860598196e-12,112.308
447,5.005756686059834e-12,112.006
448,5.0057566860598494e-12,111.704
449,5.005756686059864e-12,111.402
450,5.0057566860598785e-12,111.100
451,5.005756686059893e-12,110.798
452,5.005756686059908e-12,110.496
453,5.005756686059923e-12,110.194
454,5.0057566860599375e-12,109.892
455,5.005756686059952e-12,109.590
456,5.005756686059967e-12,109.288
457,5.005756686059983e-12,108.986
458,5.005756686059997e-12,108.684
459,5.005756686060013e-12,108.382
460,5.005756686060027e-12,108.080
461,5.0057566860600425e-12,107.778
462,5.005756686060058e-12,107.476
463,5.005756686060072e-12,107.174
464,5.005756686060088e-12,106.872
465,5.005756686060103e-12,106.570
466,5.0057566860601184e-12,106.268
467,5.005756686060134e-12,105.966
468,5.005756686060149e-12,105.664
469,5.005756686060164e-12,105.362
470,5.00575668606018e-12,105.060
471,5.005756686060195e-12,104.758
472,5.0057566860602105e-12,104.456
473,5.005756686060226e-12,104.154
474,5.005756686060241e-12,103.852
475,5.0057566860602566e-12,103.550
476,5.005756686060273e-12,103.248
477,5.005756686060288e-12,102.946
478,5.0057566860603034e-12,102.644
479,5.0057566860603196e-12,102.342
480,5.005756686060335e-12,102.040
481,5.005756686060351e-12,101.738
482,5.0057566860603664e-12,101.436
483,5.005756686060382e-12,101.134
484,5.005756686060398e-12,100.832
485,5.005756686060414e-12,100.530
486,5.0057566860604294e-12,100.228
487,5.005756686060446e-12,99.926
488,5.005756686060462e-12,99.624
489,5.005756686060478e-12,99.322
490,5.005756686060494e-12,99.020
491,5.00575668606051e-12,98.718
492,5.005756686060526e-12,98.416
493,5.005756686060542e-12,98.114
494,5.005756686060558e-12,97.812
495,5.005756686060574e-12,97.510
496,5.00575668606059e-12,97.208
497,5.005756686060606e-12,96.906
498,5.005756686060623e-12,96.604
499,5.0057566860606395e-12,96.302
500,5.005756686060656e-12,96.000
501,5.005756686060672e-12,95.698
502,5.005756686060689e-12,95.396
503,5.005756686060705e-12,95.094
504,5.005756686060722e-12,94.792
505,5.005756686060738e-12,94.490
506,5.005756686060755e-12,94.188
507,5.005756686060771e-12,93.886
508,5.005756686060788e-12,93.584
509,5.005756686060804e-12,93.282
510,5.005756686060821e-12,92.980
511,5.005756686060837e-12,92.678
512,5.005756686060854e-12,92.376
513,5.005756686060871e-12,92.074
514,5.005756686060888e-12,91.772
515,5.005756686060905e-12,91.470
516,5.005756686060921e-12,91.168
517,5.005756686060938e-12,90.866
518,5.005756686060955e-12,90.564
519,5.005756686060972e-12,90.262
520,5.005756686060989e-12,89.960
521,5.005756686061006e-12,89.658
522,5.005756686061024e-12,89.356
523,5.005756686061041e-12,89.054
524,5.005756686061058e-12,88.752
525,5.005756686061075e-12,88.450
526,5.005756686061092e-12,88.148
527,5.00575668606111e-12,87.846
528,5.0057566860611266e-12,87.544
529,5.005756686061144e-12,87.242
530,5.005756686061161e-12,86.940
531,5.005756686061179e-12,86.638
532,5.005756686061196e-12,86.336
533,5.005756686061214e-12,86.034
534,5.005756686061231e-12,85.732
535,5.0057566860612485e-12,85.430
536,5.005756686061266e-12,85.128
537,5.005756686061283e-12,84.826
538,5.005756686061301e-12,84.524
539,5.005756686061319e-12,84.222
540,5.0057566860613366e-12,83.920
541,5.005756686061354e-12,83.618
542,5.005756686061372e-12,83.316
543,5.00575668606139e-12,83.014
544,5.005756686061408e-12,82.712
545,5.0057566860614255e-12,82.410
546,5.005756686061443e-12,82.108
547,5.005756686061461e-12,81.806
548,5.005756686061479e-12,81.504
549,5.005756686061497e-12,81.202
550,5.005756686061515e-12,80.900
551,5.005756686061533e-12,80.598
552,5.005756686061551e-12,80.296
553,5.005756686061569e-12,79.994
554,5.005756686061587e-12,79.692
555,5.0057566860616056e-12,79.390
556,5.005756686061623e-12,79.088
557,5.005756686061642e-12,78.786
558,5.00575668606166e-12,78.484
559,5.005756686061678e-12,78.182
560,5.005756686061697e-12,77.880
561,5.005756686061715e-12,77.578
562,5.005756686061733e-12,77.276
563,5.005756686061752e-12,76.974
564,5.00575668606177e-12,76.672
565,5.005756686061788e-12,76.370
566,5.0057566860618075e-12,76.068
567,5.005756686061826e-12,75.766
568,5.005756686061844e-12,75.464
569,5.0057566860618625e-12,75.162
570,5.005756686061882e-12,74.860
571,5.0057566860619e-12,74.558
572,5.005756686061919e-12,74.256
573,5.0057566860619376e-12,73.954
574,5.005756686061956e-12,73.652
575,5.0057566860619756e-12,73.350
576,5.005756686061994e-12,73.048
577,5.005756686062013e-12,72.746
578,5.005756686062032e-12,72.444
579,5.005756686062051e-12,72.142
580,5.00575668606207e-12,71.840
581,5.005756686062089e-12,71.538
582,5.005756686062108e-12,71.236
583,5.005756686062127e-12,70.934
584,5.005756686062146e-12,70.632
585,5.005756686062165e-12,70.330
586,5.005756686062184e-12,70.028
587,5.005756686062203e-12,69.726
588,5.005756686062223e-12,69.424
589,5.005756686062242e-12,69.122
590,5.005756686062261e-12,68.820
591,5.00575668606228e-12,68.518
592,5.0057566860622995e-12,68.216
593,5.005756686062319e-12,67.914
594,5.005756686062338e-12,67.612
595,5.0057566860623585e-12,67.310
596,5.005756686062378e-12,67.008
597,5.005756686062397e-12,66.706
598,5.005756686062417e-12,66.404
599,5.005756686062436e-12,66.102
600,5.005756686062456e-12,65.800
601,5.0057566860624756e-12,65.498
602,5.005756686062495e-12,65.196
603,5.005756686062515e-12,64.894
604,5.0057566860625346e-12,64.592
605,5.005756686062555e-12,64.290
606,5.005756686062574e-12,63.988
607,5.005756686062594e-12,63.686
608,5.0057566860626145e-12,63.384
609,5.005756686062634e-12,63.082
610,5.005756686062654e-12,62.780
611,5.0057566860626735e-12,62.478
612,5.005756686062694e-12,62.176
613,5.005756686062714e-12,61.874
614,5.005756686062734e-12,61.572
615,5.005756686062754e-12,61.270
616,5.0057566860627745e-12,60.968
617,5.005756686062795e-12,60.666
618,5.005756686062815e-12,60.364
619,5.005756686062835e-12,60.062
620,5.005756686062855e-12,59.760
621,5.0057566860628754e-12,59.458
622,5.005756686062896e-12,59.156
623,5.005756686062917e-12,58.854
624,5.005756686062937e-12,58.552
625,5.005756686062957e-12,58.250
626,5.005756686062977e-12,57.948
627,5.005756686062998e-12,57.646
628,5.0057566860630184e-12,57.344
629,5.0057566860630394e-12,57.042
630,5.00575668606306e-12,56.740
631,5.005756686063081e-12,56.438
632,5.005756686063101e-12,56.136
633,5.005756686063122e-12,55.834
634,5.005756686063143e-12,55.532
635,5.005756686063163e-12,55.230
636,5.005756686063184e-12,54.928
637,5.005756686063205e-12,54.626
638,5.005756686063226e-12,54.324
639,5.005756686063247e-12,54.022
640,5.005756686063267e-12,53.720
641,5.005756686063288e-12,53.418
642,5.005756686063309e-12,53.116
643,5.005756686063331e-12,52.814
644,5.005756686063351e-12,52.512
645,5.005756686063373e-12,52.210
646,5.005756686063394e-12,51.908
647,5.005756686063415e-12,51.606
648,5.005756686063436e-12,51.304
649,5.005756686063458e-12,51.002
650,5.005756686063479e-12,50.700
651,5.0057566860635e-12,50.398
652,5.005756686063521e-12,50.096
653,5.005756686063543e-12,49.794
654,5.005756686063564e-12,49.492
655,5.0057566860635855e-12,49.190
656,5.005756686063607e-12,48.888
657,5.005756686063628e-12,48.586
658,5.00575668606365e-12,48.284
659,5.005756686063671e-12,47.982
660,5.005756686063693e-12,47.680
661,5.005756686063715e-12,47.378
662,5.0057566860637365e-12,47.076
663,5.005756686063758e-12,46.774
664,5.00575668606378e-12,46.472
665,5.005756686063801e-12,46.170
666,5.005756686063823e-12,45.868
667,5.005756686063845e-12,45.566
668,5.005756686063867e-12,45.264
669,5.0057566860638884e-12,44.962
670,5.005756686063911e-12,44.660
671,5.005756686063933e-12,44.358
672,5.005756686063955e-12,44.056
673,5.0057566860639765e-12,43.754
674,5.005756686063999e-12,43.452
675,5.005756686064021e-12,43.150
